english,simile_en,adj_gd,simile_gd
similar,two herrings,coltach,dà sgadan
full,an egg,làn,ugh
soft,butter,bog,ìm
fat,a seal,reamhar,ròn
cunning,a fox,seòlta,sionnach
happy,a shoe,sona,bròig
big,a mountain,mòr,beinn
bald,a shinty ball,maol,ball iomain
happy,a mouse in a loaf,sona,luch ann an lofa
fast,a hare,luath,geàrr
wet,a cormorant,fliuch,gsgarbh
fluent,a poet,fileanta,bàrd
patient,a cat,foighidneach,cat
fit,a deer,falainn,fiadh
slow,a snail,slaodach,seilcheig
sweet,honey,milis,mil
tired,an old dog,sgìth,seann chù
cross,a wildcat,crosta,cat-fiadhaich
