english,gaelic,Hello,Goodbye
hello,halò,y,n
bye,tìoraidh,n,y
welcome,fàilte,y,n
good afternoon,feasgar math,y,n
good morning,madainn mhath,y,n
good night,oidhche mhath,n,y
I need to go,feumaidh mi falbh,n,y
goodbye (informal),mar sin leat,n,y
goodbye (formal),mar sin leibh,n,y
I’ll see you later (informal),chì mi a-rithist thu,n,y
I’ll see you later (formal),chì mi a-rithist sibh,n,y
goodbye 2 (informal),beannachd leat,n,y
goodbye 2 (formal),beannachd leibh,n,y
a hundred thousand welcomes,ceud mìle fàilte,y,n
