english,nom_sing,nom_pl
farmer,tuathanach,tuathanaich
fisher,iasgair,iasgairean
professor,ollamh,ollamhan
teacher,tidsear,tidsearan
nurse,nurs,nursaichean
doctor,dotair,dotairean
musician,neach-ciùil,luchd-ciùil
shopworker,neach-bùtha,luchd-bùtha
waiter,neach-frithealaidh,luchd-frithealaidh
priest,sagart,sagartan
minister,ministear,ministearan
firefighter,neach-smàlaidh,luchd-smàlaidh
crofter,croitear,croitearan
architect,ailtire,ailtirean
joiner,saor,saoir
postman,post,postan
actor,cleasaiche,cleasaichean
chef,còcaire,còcairean
butcher,feòladair,feòladairean
layabout,leisgeadair,leisgeadairean
stonemason,clachair,clachairean
secretary,rùnaire,rùnairean
cleaner,glanadar,glanadaran
police officer,poileas,poilis
journalist,neach-nàidheachd,luchd-nàidheachd
judge,britheamh,britheamhan
painter,peantair,peantairean
manager,manaidsear,manadsairean
lorry driver,draibhear làraidh,draibhearan làraidh
librarian,leabharlannaiche,leabharlannaichean
hairdresser,gruagaire,gruagaichean
student,oileanach,oileanaich
salesperson,neach-reic,luchd-reic
dentist,fiaclair,fiaclairean
vet,bheat,bheataichean
soldier,saighdear,saighdearan
lawyer,neach-lagha,luchd-lagha
scientist,neach-saidheans,luchd-saidheans
artist,dealbhadair,dealbhadairean
writer,sgrìobhadair,sgrìobhadairean
author,ùghdar,ùghdaran
peasant,neach-tutha,luchd-tutha
