sing_1,sing_2,sing_3,pl_1,pl_2,pl_3
say,say,says,say,say,say
see,see,sees,see,see,see
get,get,gets,get,get,get
find,find,finds,find,find,find
go,go,goes,go,go,go
come,come,comes,come,come,come
bring,bring,brings,bring,bring,bring
take,take,takes,take,take,take
give,give,gives,give,give,give
do,do,does,do,do,do
make,make,makes,make,make,make
carry,carry,carries,carry,carry,carry
hear,hear,hears,hear,hear,hear
reach,reach,reaches,reach,reach,reach
am,are,is,are,are,are
have,have,has,have,have,have
