english,en_past,en_vn,root,verbal_noun
break,broke,breaking,bris,briseadh
speak,spoke,speaking,bruidhinn,bruidhinn
sleep,slept,sleeping,cadal,cadal
buy,bought,buying,ceannaich,ceannach
use,used,using,cleachd,cleachdadh
play,played,playing,cluich,cluiche
walk,walked,walking,coisich,coiseachd
finish,finished,finishing,crìochnaich,crìochnachadh
keep,kept,keeping,cùm,cumail
put,put,putting,cuir,cur
close,closed,closing,dùin,dùnadh
shout,shouted,shouting,èigh,èigheachd
listen,listened,listening,èist,èisteachd
feel,felt,feeling,fairich,faireachdainn
try,tried,trying,feuch,feuchainn
open,opened,opening,fosgail,fosgladh
answer,answered,answering,freagair,freagairt
stay,stayed,staying,fuirich,fuireach
take,took,taking,gabh,gabhail
laugh,laughed,laughing,gàir,gàireachdainn
steal,stole,stealing,goid,goid
want,wanted,wanting,iarr,iarraidh
learn,learned,learning,ionnsaich,ionnsachadh
eat,ate,eating,ith,ithe
find,found,finding,lorg,lorg
work,worked,working,obraich,obair
drink,drank,drinking,òl,òl
cry,cried,crying,ràn,rànaich
sell,sold,selling,reic,reic
run,ran,running,ruith,ruith
stand,stood,standing,seas,seasamh
tidy,tidied,tidying,sgioblaich,sgioblachadh
write,wrote,writing,sgrìobh,sgrìobhadh
sit,sat,sitting,suidh,suidhe
build,built,building,tog,togail
start,started,starting,tòisich,tòiseachadh
